"line number","contest name","choice name","party name","total votes","percent of votes","registered voters","ballots cast","num Precinct total","num Precinct rptg","over votes","under votes"
84,"REP - US House Dist 3 (Vote For 1)","Jared Craig","REP",20175,17.32,0,0,15,15,"0","997"
85,"REP - US House Dist 3 (Vote For 1)","Drew Ferguson (I)","REP",96314,82.68,0,0,15,15,"0","997"
86,"DEM - US House Dist 3 (Vote For 1)","Val Almonord","DEM",32207,100.00,0,0,15,15,"0","538"
87,"US House of Representatives - District 4 - Rep (Vote For 1)","Jonathan Chavez","REP",21924,78.29,0,0,3,3,"0","6277"
88,"US House of Representatives - District 4 - Rep (Vote For 1)","Surrea Ivy","REP",6078,21.71,0,0,3,3,"0","6277"
89,"US House of Representatives - District 4 - Dem (Vote For 1)","Henry C """"Hank"""" Johnson, Jr. (I)","DEM",84773,100.00,0,0,3,3,"0","4923"
90,"REP - US House Dist 5 (Vote For 1)","Christian Zimm","REP",21540,100.00,0,0,3,3,"0","80"
91,"DEM - US House Dist 5 (Vote For 1)","Charlotte Macbagito","DEM",3791,4.17,0,0,3,3,"0","91"
92,"DEM - US House Dist 5 (Vote For 1)","Valencia Stovall","DEM",8701,9.57,0,0,3,3,"0","91"
93,"DEM - US House Dist 5 (Vote For 1)","Nikema Williams (I)","DEM",78440,86.26,0,0,3,3,"0","91"
94,"REP - US House Dist 6 (Vote For 1)","Jake Evans","REP",26160,23.04,0,0,6,6,"0","840"
95,"REP - US House Dist 6 (Vote For 1)","Byron Gatewood","REP",3358,2.96,0,0,6,6,"0","840"
96,"REP - US House Dist 6 (Vote For 1)","Meagan Hanson","REP",9539,8.40,0,0,6,6,"0","840"
97,"REP - US House Dist 6 (Vote For 1)","Blake Harbin","REP",4171,3.67,0,0,6,6,"0","840"
98,"REP - US House Dist 6 (Vote For 1)","Rich McCormick","REP",48967,43.12,0,0,6,6,"0","840"
99,"REP - US House Dist 6 (Vote For 1)","Paulette Smith","REP",1123,0.99,0,0,6,6,"0","840"
100,"REP - US House Dist 6 (Vote For 1)","Mallory Staples","REP",10178,8.96,0,0,6,6,"0","840"
101,"REP - US House Dist 6 (Vote For 1)","Suzi Voyles","REP",2646,2.33,0,0,6,6,"0","840"
102,"REP - US House Dist 6 (Vote For 1)","Eugene Yu","REP",7411,6.53,0,0,6,6,"0","840"
103,"DEM - US House Dist 6 (Vote For 1)","Bob Christian","DEM",18776,55.55,0,0,6,6,"0","107"
104,"DEM - US House Dist 6 (Vote For 1)","Wayne C. White","DEM",15025,44.45,0,0,6,6,"0","107"
105,"REP - US House Dist 7 (Vote For 1)","Michael Corbin","REP",18637,41.07,0,0,2,2,"0","1941"
106,"REP - US House Dist 7 (Vote For 1)","Mark Gonsalves","REP",12477,27.50,0,0,2,2,"0","1941"
107,"REP - US House Dist 7 (Vote For 1)","Lisa McCoy","REP",6380,14.06,0,0,2,2,"0","1941"
108,"REP - US House Dist 7 (Vote For 1)","Yg Nyghtstorm","REP",3510,7.74,0,0,2,2,"0","1941"
109,"REP - US House Dist 7 (Vote For 1)","Mary West","REP",4370,9.63,0,0,2,2,"0","1941"
110,"DEM - US House Dist 7 (Vote For 1)","Carolyn Bourdeaux (I)","DEM",16310,30.62,0,0,2,2,"0","153"
111,"DEM - US House Dist 7 (Vote For 1)","Lucy McBath (I)","DEM",33607,63.09,0,0,2,2,"0","153"
112,"DEM - US House Dist 7 (Vote For 1)","Donna McLeod","DEM",3352,6.29,0,0,2,2,"0","153"
113,"US House of Representatives - District 8 - Rep (Vote For 1)","Austin Scott (I)","REP",90426,100.00,0,0,29,29,"0","176"
114,"US House of Representatives - District 8 - Dem (Vote For 1)","Darrius Butler","DEM",30655,100.00,0,0,29,29,"0","79"
115,"US House of Representatives - District 9 - Rep (Vote For 1)","Michael Boggus","REP",4230,3.57,0,0,14,14,"0","125"
116,"US House of Representatives - District 9 - Rep (Vote For 1)","Andrew Clyde (I)","REP",90535,76.40,0,0,14,14,"0","125"
117,"US House of Representatives - District 9 - Rep (Vote For 1)","J. Gregory Howard","REP",3463,2.92,0,0,14,14,"0","125"
118,"US House of Representatives - District 9 - Rep (Vote For 1)","John London","REP",2359,1.99,0,0,14,14,"0","125"
119,"US House of Representatives - District 9 - Rep (Vote For 1)","Ben Souther","REP",17922,15.12,0,0,14,14,"0","125"
120,"US House of Representatives - District 9 - Dem (Vote For 1)","Michael """"Mike"""" Ford","DEM",21434,100.00,0,0,14,14,"0","24"
121,"US House of Representatives - District 10 - Rep (Vote For 1)","Timothy Barr","REP",16007,14.27,0,0,18,18,"0","523"
122,"US House of Representatives - District 10 - Rep (Vote For 1)","Paul Broun","REP",14901,13.28,0,0,18,18,"0","523"
123,"US House of Representatives - District 10 - Rep (Vote For 1)","Mike Collins","REP",28741,25.62,0,0,18,18,"0","523"
124,"US House of Representatives - District 10 - Rep (Vote For 1)","David Curry","REP",10557,9.41,0,0,18,18,"0","523"
125,"US House of Representatives - District 10 - Rep (Vote For 1)","Vernon J. Jones","REP",24165,21.54,0,0,18,18,"0","523"
126,"US House of Representatives - District 10 - Rep (Vote For 1)","Marc McMain","REP",5222,4.66,0,0,18,18,"0","523"
127,"US House of Representatives - District 10 - Rep (Vote For 1)","Alan Sims","REP",7388,6.59,0,0,18,18,"0","523"
128,"US House of Representatives - District 10 - Rep (Vote For 1)","Mitchell Swan","REP",5184,4.62,0,0,18,18,"0","523"
129,"US House of Representatives - District 10 - Dem (Vote For 1)","Jessica Allison Fore","DEM",7257,19.25,0,0,18,18,"0","150"
130,"US House of Representatives - District 10 - Dem (Vote For 1)","Tabitha Johnson-Green","DEM",15821,41.96,0,0,18,18,"0","150"
131,"US House of Representatives - District 10 - Dem (Vote For 1)","Phyllis Hatcher","DEM",7120,18.88,0,0,18,18,"0","150"
132,"US House of Representatives - District 10 - Dem (Vote For 1)","Femi Oduwole","DEM",4427,11.74,0,0,18,18,"0","150"
133,"US House of Representatives - District 10 - Dem (Vote For 1)","Paul Walton","DEM",3077,8.16,0,0,18,18,"0","150"
134,"REP - US House Dist 11 (Vote For 1)","Barry Loudermilk (I)","REP",99073,100.00,0,0,4,4,"0","1467"
135,"DEM - US House Dist 11 (Vote For 1)","Antonio Daza","DEM",33470,100.00,0,0,4,4,"0","302"
136,"US House of Representatives - District 12 - Rep (Vote For 1)","Rick W. Allen (I)","REP",81151,100.00,0,0,24,24,"0","971"
137,"US House of Representatives - District 12 - Dem (Vote For 1)","Elizabeth 'Liz' Johnson","DEM",44537,100.00,0,0,24,24,"0","287"
138,"REP - US House Dist 13 (Vote For 1)","Caesar Gonzales","REP",12659,57.20,0,0,6,6,"0","855"
139,"REP - US House Dist 13 (Vote For 1)","Dominika Hawkins","REP",4450,20.11,0,0,6,6,"0","855"
140,"REP - US House Dist 13 (Vote For 1)","Calina Plotky","REP",5022,22.69,0,0,6,6,"0","855"
141,"DEM - US House Dist 13 (Vote For 1)","Mark Baker","DEM",11581,12.57,0,0,6,6,"0","536"
142,"DEM - US House Dist 13 (Vote For 1)","Shastity Driscoll","DEM",10906,11.84,0,0,6,6,"0","536"
143,"DEM - US House Dist 13 (Vote For 1)","Vincent Fort","DEM",9108,9.89,0,0,6,6,"0","536"
144,"DEM - US House Dist 13 (Vote For 1)","David Scott (I)","DEM",60544,65.71,0,0,6,6,"0","536"
145,"REP - US House Dist 14 (Vote For 1)","Eric Cunningham","REP",6390,6.15,0,0,11,11,"0","189"
146,"REP - US House Dist 14 (Vote For 1)","Marjorie Taylor Greene (I)","REP",72215,69.54,0,0,11,11,"0","189"
147,"REP - US House Dist 14 (Vote For 1)","James Haygood","REP",3790,3.65,0,0,11,11,"0","189"
148,"REP - US House Dist 14 (Vote For 1)","Charles Lutin","REP",2304,2.22,0,0,11,11,"0","189"
149,"REP - US House Dist 14 (Vote For 1)","Jennifer Strahan","REP",17595,16.94,0,0,11,11,"0","189"
150,"REP - US House Dist 14 (Vote For 1)","Seth Synstelien","REP",1547,1.49,0,0,11,11,"0","189"
151,"DEM - US House Dist 14 (Vote For 1)","Wendy Davis","DEM",5141,19.12,0,0,11,11,"0","35"
152,"DEM - US House Dist 14 (Vote For 1)","Marcus Flowers","DEM",20082,74.70,0,0,11,11,"0","35"
153,"DEM - US House Dist 14 (Vote For 1)","Holly McCormack","DEM",1662,6.18,0,0,11,11,"0","35"
154,"State Senate - District 1 - Rep (Vote For 1)","Ben Watson (I)","REP",21070,100.00,0,0,3,3,"0","773"
155,"State Senate - District 1 - Dem (Vote For 1)","James """"Jay"""" Jones","DEM",8698,80.08,0,0,3,3,"0","230"
156,"State Senate - District 1 - Dem (Vote For 1)","Andrew Robert Niquette","DEM",2163,19.92,0,0,3,3,"0","230"
157,"State Senate - District 2 - Rep (Vote For 1)","Ken Yasger","REP",3061,44.23,0,0,1,1,"0","1770"
158,"State Senate - District 2 - Rep (Vote For 1)","Clinton Young","REP",3859,55.77,0,0,1,1,"0","1770"
159,"State Senate - District 2 - Dem (Vote For 1)","Derek Mallow","DEM",12197,65.81,0,0,1,1,"0","1862"
160,"State Senate - District 2 - Dem (Vote For 1)","Orlando Scott","DEM",6337,34.19,0,0,1,1,"0","1862"
161,"State Senate - District 3 - Rep (Vote For 1)","Nora Lott Haynes","REP",5010,19.06,0,0,6,6,"0","314"
162,"State Senate - District 3 - Rep (Vote For 1)","Mike Hodges","REP",12271,46.68,0,0,6,6,"0","314"
163,"State Senate - District 3 - Rep (Vote For 1)","Jeff Jones","REP",9006,34.26,0,0,6,6,"0","314"
164,"State Senate - District 4 - Rep (Vote For 1)","Billy Hickman (I)","REP",21331,100.00,0,0,5,5,"0","939"
165,"State Senate - District 5/ Senador Estatal del Distrito 5 - Dem (Vote For 1)","Michel A. Powell","DEM",0,0.00,0,0,1,1,"0","2971"
166,"State Senate - District 5/ Senador Estatal del Distrito 5 - Dem (Vote For 1)","Sheikh Rahman (I)","DEM",5071,100.00,0,0,1,1,"0","2971"
167,"State Senate - District 6 - Rep (Vote For 1)","Fred Glass","REP",12703,67.52,0,0,2,2,"0","2032"
168,"State Senate - District 6 - Rep (Vote For 1)","Angelic Moore","REP",6110,32.48,0,0,2,2,"0","2032"
169,"State Senate - District 6 - Dem (Vote For 1)","Jason Esteves","DEM",6940,54.21,0,0,2,2,"0","727"
170,"State Senate - District 6 - Dem (Vote For 1)","Luisa Wakeman","DEM",5863,45.79,0,0,2,2,"0","727"
171,"State Senate - District 7/ Senador Estatal del Distrito 7 - Rep (Vote For 1)","Josh McKay","REP",8407,65.60,0,0,1,1,"0","2817"
172,"State Senate - District 7/ Senador Estatal del Distrito 7 - Rep (Vote For 1)","Bill Sandman","REP",4408,34.40,0,0,1,1,"0","2817"
173,"State Senate - District 7/ Senador Estatal del Distrito 7 - Dem (Vote For 1)","Nabilah Islam","DEM",5745,50.34,0,0,1,1,"0","647"
174,"State Senate - District 7/ Senador Estatal del Distrito 7 - Dem (Vote For 1)","Beth Moore","DEM",5668,49.66,0,0,1,1,"0","647"
175,"State Senate - District 8 - Rep (Vote For 1)","Russ Goodman (I)","REP",19118,100.00,0,0,7,7,"0","201"
176,"State Senate - District 9/ Senador Estatal del Distrito 9 - Dem (Vote For 1)","Nikki Merritt (I)","DEM",13626,100.00,0,0,1,1,"0","1251"
177,"State Senate - District 10 - Dem (Vote For 1)","Bruce B. Holmes","DEM",8630,29.71,0,0,2,2,"0","812"
178,"State Senate - District 10 - Dem (Vote For 1)","Emanuel D Jones (I)","DEM",20422,70.29,0,0,2,2,"0","812"
179,"State Senate - District 11 - Rep (Vote For 1)","Dean Burke (I)","REP",21424,100.00,0,0,7,7,"0","333"
180,"State Senate - District 12 - Dem (Vote For 1)","Freddie Powell Sims (I)","DEM",16108,100.00,0,0,13,13,"0","33"
181,"State Senate - District 13 - Rep (Vote For 1)","Ed Perry","REP",9204,35.32,0,0,9,9,"0","86"
182,"State Senate - District 13 - Rep (Vote For 1)","Carden H. Summers (I)","REP",14316,54.93,0,0,9,9,"0","86"
183,"State Senate - District 13 - Rep (Vote For 1)","George Woods","REP",2540,9.75,0,0,9,9,"0","86"
184,"REP - State Senate Dist 14 (Vote For 1)","Liz Hausmann","REP",14930,100.00,0,0,1,1,"0","5260"
185,"DEM - State Senate Dist 14 (Vote For 1)","Josh McLaurin","DEM",11284,100.00,0,0,1,1,"0","2356"
186,"DEM - State Senate Dist 15 (Vote For 1)","Ed Harbison (I)","DEM",15205,100.00,0,0,7,7,"0","30"
187,"REP - State Senate Dist 16 (Vote For 1)","Marty Harbin (I)","REP",30243,100.00,0,0,4,4,"0","2652"
188,"DEM - State Senate Dist 16 (Vote For 1)","Pingke Dubignon","DEM",8542,100.00,0,0,4,4,"0","1067"
189,"State Senate - District 17 - Rep (Vote For 1)","Brett Mauldin","REP",7177,26.80,0,0,4,4,"0","463"
190,"State Senate - District 17 - Rep (Vote For 1)","Brian Strickland (I)","REP",19599,73.20,0,0,4,4,"0","463"
191,"State Senate - District 17 - Dem (Vote For 1)","Kacy D. Morgan","DEM",10687,100.00,0,0,4,4,"0","702"
192,"State Senate - District 18 - Rep (Vote For 1)","John F. Kennedy (I)","REP",24531,89.11,0,0,6,6,"0","500"
193,"State Senate - District 18 - Rep (Vote For 1)","Diane S. Vann","REP",2998,10.89,0,0,6,6,"0","500"
194,"State Senate - District 18 - Dem (Vote For 1)","Chris Benton","DEM",10025,100.00,0,0,6,6,"0","724"
195,"State Senate - District 19 - Rep (Vote For 1)","Blake Tillery (I)","REP",23393,100.00,0,0,11,11,"0","595"
196,"State Senate - District 19 - Dem (Vote For 1)","Michael """"Buckle"""" Moore","DEM",4112,100.00,0,0,11,11,"0","174"
197,"State Senate - District 20 - Rep (Vote For 1)","Larry Walker (I)","REP",25491,100.00,0,0,8,8,"0","260"
198,"REP - State Senate Dist 21 (Vote For 1)","Brandon Beach (I)","REP",30648,100.00,0,0,2,2,"0","3351"
199,"State Senate - District 22 - Rep (Vote For 1)","Andrew Danielson","REP",8566,100.00,0,0,1,1,"0","2409"
200,"State Senate - District 22 - Dem (Vote For 1)","Harold V. Jones II (I)","DEM",19719,100.00,0,0,1,1,"0","1906"
201,"State Senate - District 23 - Rep (Vote For 1)","Max Burns(I)","REP",21203,100.00,0,0,11,11,"0","277"
202,"State Senate - District 24 - Rep (Vote For 1)","Lee Anderson (I)","REP",32440,100.00,0,0,7,7,"0","1892"
203,"State Senate - District 25 - Rep (Vote For 1)","Rick Jeffares","REP",10334,41.83,0,0,7,7,"0","153"
204,"State Senate - District 25 - Rep (Vote For 1)","Leland """"Jake"""" Olinger II","REP",908,3.68,0,0,7,7,"0","153"
205,"State Senate - District 25 - Rep (Vote For 1)","Daniela Sullivan-Marzahl","REP",694,2.81,0,0,7,7,"0","153"
206,"State Senate - District 25 - Rep (Vote For 1)","Ricky """"Rick"""" Williams","REP",12771,51.69,0,0,7,7,"0","153"
207,"State Senate - District 25 - Dem (Vote For 1)","Valerie Rodgers","DEM",10275,100.00,0,0,7,7,"0","640"
208,"State Senate - District 26 - Dem (Vote For 1)","David E. Lucas, Sr. (I)","DEM",16989,100.00,0,0,7,7,"0","600"
209,"REP - State Senate Dist 27 (Vote For 1)","Greg Dolezal (I)","REP",27695,100.00,0,0,1,1,"0","4606"
210,"DEM - State Senate Dist 27 (Vote For 1)","Brent Binion","DEM",4511,100.00,0,0,1,1,"0","765"
211,"REP - State Senate Dist 28 (Vote For 1)","Matt Brass (I)","REP",29151,100.00,0,0,4,4,"0","2817"
212,"REP - State Senate Dist 29 (Vote For 1)","Randy Robertson (I)","REP",23611,100.00,0,0,4,4,"0","741"
213,"DEM - State Senate Dist 29 (Vote For 1)","Frederick Manley","DEM",3898,43.71,0,0,4,4,"0","230"
214,"DEM - State Senate Dist 29 (Vote For 1)","Ellen Wright","DEM",5019,56.29,0,0,4,4,"0","230"
215,"REP - State Senate Dist 30 (Vote For 1)","Mike Dugan (I)","REP",25742,100.00,0,0,4,4,"0","1676"
216,"REP - State Senate Dist 31 (Vote For 1)","Jason Anavitarte (I)","REP",22853,100.00,0,0,2,2,"0","2473"
217,"REP - State Senate Dist 32 (Vote For 1)","Kay Kirkpatrick (I)","REP",22566,85.14,0,0,2,2,"0","1237"
218,"REP - State Senate Dist 32 (Vote For 1)","Andy Soha","REP",3938,14.86,0,0,2,2,"0","1237"
219,"DEM - State Senate Dist 32 (Vote For 1)","Sylvia L. Bennett","DEM",8467,100.00,0,0,2,2,"0","367"
220,"State Senate - District 33 - Dem (Vote For 1)","Euriel I. Hemmerly","DEM",4855,31.82,0,0,1,1,"0","1179"
221,"State Senate - District 33 - Dem (Vote For 1)","Michael Doc Rhett (I)","DEM",10401,68.18,0,0,1,1,"0","1179"
222,"REP - State Senate Dist 34 (Vote For 1)","Thomas """"Tommy"""" Smith","REP",4007,100.00,0,0,2,2,"0","316"
223,"DEM - State Senate Dist 34 (Vote For 1)","Valencia M. Seay (I)","DEM",17243,100.00,0,0,2,2,"0","848"
224,"DEM - State Senate Dist 35 (Vote For 1)","Lula Gilliam","DEM",2453,9.83,0,0,2,2,"0","340"
225,"DEM - State Senate Dist 35 (Vote For 1)","Mike Glanton, Jr.","DEM",1977,7.92,0,0,2,2,"0","340"
226,"DEM - State Senate Dist 35 (Vote For 1)","Donzella James (I)","DEM",17707,70.95,0,0,2,2,"0","340"
227,"DEM - State Senate Dist 35 (Vote For 1)","Whitney Kenner Jones","DEM",2821,11.30,0,0,2,2,"0","340"
228,"REP - State Senate Dist 36 (Vote For 1)","Brian Huefner","REP",2487,100.00,0,0,1,1,"0","1669"
229,"DEM - State Senate Dist 36 (Vote For 1)","Nan Orrock (I)","DEM",16485,75.42,0,0,1,1,"0","2252"
230,"DEM - State Senate Dist 36 (Vote For 1)","Asa Smith","DEM",3643,16.67,0,0,1,1,"0","2252"
231,"DEM - State Senate Dist 36 (Vote For 1)","Chase Stell","DEM",1730,7.91,0,0,1,1,"0","2252"
232,"REP - State Senate Dist 37 (Vote For 1)","David Delk","REP",7912,25.92,0,0,2,2,"0","164"
