precinct,district,office,writein,party_detailed,party_simplified,candidate,dataverse,mode,votes,jurisdiction_name,state,year,stage,state_po,state_fips,state_cen,state_ic,date,jurisdiction_fips,county_name,county_fips,readme_check,magnitude,special
01-01,,HAWAII RESIDENT TRUSTEE VACANCY,FALSE,,,HOPE ALOHALANI CERMELJ,STATE,MAIL IN,785,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,HAWAII RESIDENT TRUSTEE VACANCY,FALSE,,,MILILANI B TRASK,STATE,MAIL IN,1458,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,AT-LARGE TRUSTEE,FALSE,,,LEI 'LEINA'ALA' AHU ISA,STATE,MAIL IN,726,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,AT-LARGE TRUSTEE,FALSE,,,BRICKWOOD GALUTERIA,STATE,MAIL IN,1077,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,AT-LARGE TRUSTEE,FALSE,,,SAM 'KALANIKUPUA' KING,STATE,MAIL IN,740,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,AT-LARGE TRUSTEE,FALSE,,,CHAD OWENS,STATE,MAIL IN,740,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,AT-LARGE TRUSTEE,FALSE,,,KEONI SOUZA,STATE,MAIL IN,1272,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,AT-LARGE TRUSTEE,FALSE,,,JOHN D WAIHEE,STATE,MAIL IN,1139,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,1 HAWAI'I: MEMBERSHIP FOR THE BOARD OF ETHICS,FALSE,,,YES,,MAIL IN,1832,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,1 HAWAI'I: MEMBERSHIP FOR THE BOARD OF ETHICS,FALSE,,,NO,,MAIL IN,1145,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,2 HAWAI'I: EXPANDING THE DUTIES OF THE COUNTY AUDITOR,FALSE,,,YES,,MAIL IN,2608,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,2 HAWAI'I: EXPANDING THE DUTIES OF THE COUNTY AUDITOR,FALSE,,,NO,,MAIL IN,408,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,3 HAWAI'I: ESTABLISHING A YOUTH COMMISSION,FALSE,,,YES,,MAIL IN,2108,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-01,,3 HAWAI'I: ESTABLISHING A YOUTH COMMISSION,FALSE,,,NO,,MAIL IN,902,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,US SENATE,FALSE,LIBERTARIAN,LIBERTARIAN,FEENA M BONOAN,SENATE,MAIL IN,39,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,US SENATE,FALSE,ALOHA AINA PARTY,OTHER,DAN DECKER,SENATE,MAIL IN,11,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,US SENATE,FALSE,REPUBLICAN,REPUBLICAN,BOB MCDERMOTT,SENATE,MAIL IN,362,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,US SENATE,FALSE,GREEN,OTHER,EMMA JANE A POHLMAN,SENATE,MAIL IN,28,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,US SENATE,FALSE,DEMOCRAT,DEMOCRAT,BRIAN SCHATZ,SENATE,MAIL IN,1654,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,002,US HOUSE,FALSE,REPUBLICAN,REPUBLICAN,JOE AKANA,HOUSE,MAIL IN,541,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,002,US HOUSE,FALSE,LIBERTARIAN,LIBERTARIAN,MICHELLE ROSE TIPPENS,HOUSE,MAIL IN,65,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,002,US HOUSE,FALSE,DEMOCRAT,DEMOCRAT,JILL N TOKUDA,HOUSE,MAIL IN,1444,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,GOVERNOR,FALSE,REPUBLICAN,REPUBLICAN,DUKE TUPAI AIONA,STATE,MAIL IN,614,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,GOVERNOR,FALSE,DEMOCRAT,DEMOCRAT,JOSH LUKE GREEN,STATE,MAIL IN,1506,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,001,STATE SENATOR,FALSE,DEMOCRAT,DEMOCRAT,LORRAINE RODERO INOUYE,,MAIL IN,1484,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,001,STATE SENATOR,FALSE,REPUBLICAN,REPUBLICAN,HELEN C TUPAI,,MAIL IN,569,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,HAWAII RESIDENT TRUSTEE VACANCY,FALSE,,,HOPE ALOHALANI CERMELJ,STATE,MAIL IN,500,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,HAWAII RESIDENT TRUSTEE VACANCY,FALSE,,,MILILANI B TRASK,STATE,MAIL IN,1001,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,AT-LARGE TRUSTEE,FALSE,,,LEI 'LEINA'ALA' AHU ISA,STATE,MAIL IN,533,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,AT-LARGE TRUSTEE,FALSE,,,BRICKWOOD GALUTERIA,STATE,MAIL IN,670,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,AT-LARGE TRUSTEE,FALSE,,,SAM 'KALANIKUPUA' KING,STATE,MAIL IN,470,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,AT-LARGE TRUSTEE,FALSE,,,CHAD OWENS,STATE,MAIL IN,519,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,AT-LARGE TRUSTEE,FALSE,,,KEONI SOUZA,STATE,MAIL IN,730,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,AT-LARGE TRUSTEE,FALSE,,,JOHN D WAIHEE,STATE,MAIL IN,791,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,1 HAWAI'I: MEMBERSHIP FOR THE BOARD OF ETHICS,FALSE,,,YES,,MAIL IN,1164,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,1 HAWAI'I: MEMBERSHIP FOR THE BOARD OF ETHICS,FALSE,,,NO,,MAIL IN,777,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,2 HAWAI'I: EXPANDING THE DUTIES OF THE COUNTY AUDITOR,FALSE,,,YES,,MAIL IN,1685,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,2 HAWAI'I: EXPANDING THE DUTIES OF THE COUNTY AUDITOR,FALSE,,,NO,,MAIL IN,279,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,3 HAWAI'I: ESTABLISHING A YOUTH COMMISSION,FALSE,,,YES,,MAIL IN,1339,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-02,,3 HAWAI'I: ESTABLISHING A YOUTH COMMISSION,FALSE,,,NO,,MAIL IN,637,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,US SENATE,FALSE,LIBERTARIAN,LIBERTARIAN,FEENA M BONOAN,SENATE,MAIL IN,27,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,US SENATE,FALSE,ALOHA AINA PARTY,OTHER,DAN DECKER,SENATE,MAIL IN,18,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,US SENATE,FALSE,REPUBLICAN,REPUBLICAN,BOB MCDERMOTT,SENATE,MAIL IN,550,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,US SENATE,FALSE,GREEN,OTHER,EMMA JANE A POHLMAN,SENATE,MAIL IN,29,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,US SENATE,FALSE,DEMOCRAT,DEMOCRAT,BRIAN SCHATZ,SENATE,MAIL IN,2546,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,002,US HOUSE,FALSE,REPUBLICAN,REPUBLICAN,JOE AKANA,HOUSE,MAIL IN,822,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,002,US HOUSE,FALSE,LIBERTARIAN,LIBERTARIAN,MICHELLE ROSE TIPPENS,HOUSE,MAIL IN,60,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,002,US HOUSE,FALSE,DEMOCRAT,DEMOCRAT,JILL N TOKUDA,HOUSE,MAIL IN,2230,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,GOVERNOR,FALSE,REPUBLICAN,REPUBLICAN,DUKE TUPAI AIONA,STATE,MAIL IN,1014,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,GOVERNOR,FALSE,DEMOCRAT,DEMOCRAT,JOSH LUKE GREEN,STATE,MAIL IN,2210,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,001,STATE SENATOR,FALSE,DEMOCRAT,DEMOCRAT,LORRAINE RODERO INOUYE,,MAIL IN,2214,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,001,STATE SENATOR,FALSE,REPUBLICAN,REPUBLICAN,HELEN C TUPAI,,MAIL IN,879,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,HAWAII RESIDENT TRUSTEE VACANCY,FALSE,,,HOPE ALOHALANI CERMELJ,STATE,MAIL IN,694,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,HAWAII RESIDENT TRUSTEE VACANCY,FALSE,,,MILILANI B TRASK,STATE,MAIL IN,1528,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,AT-LARGE TRUSTEE,FALSE,,,LEI 'LEINA'ALA' AHU ISA,STATE,MAIL IN,778,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,AT-LARGE TRUSTEE,FALSE,,,BRICKWOOD GALUTERIA,STATE,MAIL IN,1126,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,AT-LARGE TRUSTEE,FALSE,,,SAM 'KALANIKUPUA' KING,STATE,MAIL IN,635,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,AT-LARGE TRUSTEE,FALSE,,,CHAD OWENS,STATE,MAIL IN,771,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,AT-LARGE TRUSTEE,FALSE,,,KEONI SOUZA,STATE,MAIL IN,1142,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,AT-LARGE TRUSTEE,FALSE,,,JOHN D WAIHEE,STATE,MAIL IN,1066,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,002,COUNCILMEMBER,FALSE,,,JENNIFER 'JENN' KAGIWADA,,MAIL IN,1573,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,002,COUNCILMEMBER,FALSE,,,MATTHIAS KUSCH,,MAIL IN,1507,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,1 HAWAI'I: MEMBERSHIP FOR THE BOARD OF ETHICS,FALSE,,,YES,,MAIL IN,1703,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,1 HAWAI'I: MEMBERSHIP FOR THE BOARD OF ETHICS,FALSE,,,NO,,MAIL IN,1238,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,2 HAWAI'I: EXPANDING THE DUTIES OF THE COUNTY AUDITOR,FALSE,,,YES,,MAIL IN,2505,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,2 HAWAI'I: EXPANDING THE DUTIES OF THE COUNTY AUDITOR,FALSE,,,NO,,MAIL IN,492,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,3 HAWAI'I: ESTABLISHING A YOUTH COMMISSION,FALSE,,,YES,,MAIL IN,1924,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
01-03,,3 HAWAI'I: ESTABLISHING A YOUTH COMMISSION,FALSE,,,NO,,MAIL IN,1085,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,US SENATE,FALSE,LIBERTARIAN,LIBERTARIAN,FEENA M BONOAN,SENATE,MAIL IN,27,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,US SENATE,FALSE,ALOHA AINA PARTY,OTHER,DAN DECKER,SENATE,MAIL IN,26,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,US SENATE,FALSE,REPUBLICAN,REPUBLICAN,BOB MCDERMOTT,SENATE,MAIL IN,720,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,US SENATE,FALSE,GREEN,OTHER,EMMA JANE A POHLMAN,SENATE,MAIL IN,61,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,US SENATE,FALSE,DEMOCRAT,DEMOCRAT,BRIAN SCHATZ,SENATE,MAIL IN,4153,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,002,US HOUSE,FALSE,REPUBLICAN,REPUBLICAN,JOE AKANA,HOUSE,MAIL IN,1053,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,002,US HOUSE,FALSE,LIBERTARIAN,LIBERTARIAN,MICHELLE ROSE TIPPENS,HOUSE,MAIL IN,90,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,002,US HOUSE,FALSE,DEMOCRAT,DEMOCRAT,JILL N TOKUDA,HOUSE,MAIL IN,3743,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,GOVERNOR,FALSE,REPUBLICAN,REPUBLICAN,DUKE TUPAI AIONA,STATE,MAIL IN,1397,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,GOVERNOR,FALSE,DEMOCRAT,DEMOCRAT,JOSH LUKE GREEN,STATE,MAIL IN,3635,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,001,STATE SENATOR,FALSE,DEMOCRAT,DEMOCRAT,LORRAINE RODERO INOUYE,,MAIL IN,3690,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,001,STATE SENATOR,FALSE,REPUBLICAN,REPUBLICAN,HELEN C TUPAI,,MAIL IN,1152,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,HAWAII RESIDENT TRUSTEE VACANCY,FALSE,,,HOPE ALOHALANI CERMELJ,STATE,MAIL IN,1119,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,HAWAII RESIDENT TRUSTEE VACANCY,FALSE,,,MILILANI B TRASK,STATE,MAIL IN,2278,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,AT-LARGE TRUSTEE,FALSE,,,LEI 'LEINA'ALA' AHU ISA,STATE,MAIL IN,1229,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,AT-LARGE TRUSTEE,FALSE,,,BRICKWOOD GALUTERIA,STATE,MAIL IN,1886,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,AT-LARGE TRUSTEE,FALSE,,,SAM 'KALANIKUPUA' KING,STATE,MAIL IN,978,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,AT-LARGE TRUSTEE,FALSE,,,CHAD OWENS,STATE,MAIL IN,1224,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,AT-LARGE TRUSTEE,FALSE,,,KEONI SOUZA,STATE,MAIL IN,1531,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,AT-LARGE TRUSTEE,FALSE,,,JOHN D WAIHEE,STATE,MAIL IN,1818,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,002,COUNCILMEMBER,FALSE,,,JENNIFER 'JENN' KAGIWADA,,MAIL IN,2492,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,002,COUNCILMEMBER,FALSE,,,MATTHIAS KUSCH,,MAIL IN,2297,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,1 HAWAI'I: MEMBERSHIP FOR THE BOARD OF ETHICS,FALSE,,,YES,,MAIL IN,2610,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,1 HAWAI'I: MEMBERSHIP FOR THE BOARD OF ETHICS,FALSE,,,NO,,MAIL IN,2043,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,2 HAWAI'I: EXPANDING THE DUTIES OF THE COUNTY AUDITOR,FALSE,,,YES,,MAIL IN,3926,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,2 HAWAI'I: EXPANDING THE DUTIES OF THE COUNTY AUDITOR,FALSE,,,NO,,MAIL IN,769,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,3 HAWAI'I: ESTABLISHING A YOUTH COMMISSION,FALSE,,,YES,,MAIL IN,2958,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-01,,3 HAWAI'I: ESTABLISHING A YOUTH COMMISSION,FALSE,,,NO,,MAIL IN,1725,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-02,,US SENATE,FALSE,LIBERTARIAN,LIBERTARIAN,FEENA M BONOAN,SENATE,MAIL IN,3,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-02,,US SENATE,FALSE,REPUBLICAN,REPUBLICAN,BOB MCDERMOTT,SENATE,MAIL IN,22,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-02,,US SENATE,FALSE,GREEN,OTHER,EMMA JANE A POHLMAN,SENATE,MAIL IN,2,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-02,,US SENATE,FALSE,DEMOCRAT,DEMOCRAT,BRIAN SCHATZ,SENATE,MAIL IN,85,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-02,002,US HOUSE,FALSE,REPUBLICAN,REPUBLICAN,JOE AKANA,HOUSE,MAIL IN,35,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-02,002,US HOUSE,FALSE,LIBERTARIAN,LIBERTARIAN,MICHELLE ROSE TIPPENS,HOUSE,MAIL IN,4,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-02,002,US HOUSE,FALSE,DEMOCRAT,DEMOCRAT,JILL N TOKUDA,HOUSE,MAIL IN,70,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
02-02,,GOVERNOR,FALSE,REPUBLICAN,REPUBLICAN,DUKE TUPAI AIONA,STATE,MAIL IN,43,HAWAII,HAWAII,2022,GEN,HI,15,95,82,2022-11-08,15001,HAWAII,15001,TRUE,1,FALSE
